"Survey Date","Hospital Region","Hospital Region Code","Facility Type","Facility Filter","All Beds","Inpatient Beds","Inpatient Beds Used","Inpatient Beds Available","ICU Beds","ICU Beds Used","ICU Beds Available","Vents","Vents Used","Vents Available","Pos COVID","PUI Pending","Pos COVID PUI Pending","All Beds (Imputed)","Inpatient Beds (Imputed)","Inpatient Beds Used (Imputed)","Inpatient Beds Available (Imputed)","ICU Beds (Imputed)","ICU Beds Used (Imputed)","ICU Beds Available (Imputed)","Vents (Imputed)","Vents Used (Imputed)","Vents Available (Imputed)","Pos COVID (Imputed)","PUI Pending (Imputed)","Pos COVID PUI Pending (Imputed)"
04/12/2020,Gulf Coast,4,GACH,1,49,43,25,18,6,4,2,9,0,9,,,,49,43,25,18,6,4,2,9,0,9,,,
04/12/2020,Interior,6,GACH,1,94,81,40,41,13,6,7,15,0,15,,,,94,81,40,41,13,6,7,15,0,15,,,
04/12/2020,Matanuska-Susitna,3,GACH,1,192,125,47,78,14,4,10,16,1,15,,,,192,125,47,78,14,4,10,16,1,15,,,
04/12/2020,Northern,2,CAH,1,135,95,10,85,8,0,8,24,0,24,,,,135,95,10,85,8,0,8,24,0,24,,,
04/12/2020,Southeast,5,CAH,1,79,75,36,39,12,2,10,25,0,25,,,,79,75,36,39,12,2,10,25,0,25,,,
04/12/2020,Southeast,5,GACH,1,57,46,17,29,9,4,5,15,0,15,,,,57,46,17,29,9,4,5,15,0,15,,,
04/12/2020,Southwest,1,CAH,1,26,12,2,10,0,0,0,2,0,2,,,,26,12,2,10,0,0,0,2,0,2,,,
04/12/2020,Southwest,1,GACH,1,62,45,8,37,8,0,8,4,0,4,,,,62,45,8,37,8,0,8,4,0,4,,,
04/13/2020,Anchorage,7,GACH,1,909,323,395,137,90,58,32,136,22,114,,,,909,724,395,300,90,58,32,136,22,114,,,
04/13/2020,Anchorage,7,LTACH,0,56,30,28,2,11,5,6,23,1,22,,,,56,30,28,2,11,5,6,23,1,22,,,
04/13/2020,Anchorage,7,Psych,0,116,86,61,25,0,0,0,0,0,0,,,,116,86,61,25,0,0,0,0,0,0,,,
04/13/2020,Gulf Coast,4,CAH,1,130,109,19,90,4,0,4,17,0,17,,,,130,109,19,90,4,0,4,17,0,17,,,
04/13/2020,Gulf Coast,4,GACH,1,49,43,26,17,6,2,4,9,1,8,,,,49,43,26,17,6,2,4,9,1,8,,,
04/13/2020,Interior,6,GACH,1,94,81,41,40,13,5,8,15,0,15,,,,94,81,41,40,13,5,8,15,0,15,,,
04/13/2020,Matanuska-Susitna,3,GACH,1,192,125,47,78,14,11,3,16,0,16,,,,192,125,47,78,14,11,3,16,0,16,,,
04/13/2020,Northern,2,CAH,1,135,95,9,86,8,0,8,24,0,24,,,,135,95,9,86,8,0,8,24,0,24,,,
04/13/2020,Southeast,5,CAH,1,79,75,27,48,12,3,9,25,0,25,,,,79,75,27,48,12,3,9,25,0,25,,,
04/13/2020,Southeast,5,GACH,1,81,56,18,38,9,3,6,15,0,15,,,,81,56,18,38,9,3,6,15,0,15,,,
04/13/2020,Southwest,1,CAH,1,26,12,2,10,0,0,0,2,0,2,,,,26,12,2,10,0,0,0,2,0,2,,,
04/13/2020,Southwest,1,GACH,1,62,45,4,41,8,0,8,4,0,4,,,,62,45,4,41,8,0,8,4,0,4,,,
04/14/2020,Anchorage,7,GACH,1,995,423,387,242,90,55,35,155,19,136,,,,995,824,387,405,90,55,35,155,19,136,,,
04/14/2020,Anchorage,7,LTACH,0,56,30,28,2,11,5,6,23,1,22,,,,56,30,28,2,11,5,6,23,1,22,,,
04/14/2020,Anchorage,7,Psych,0,116,86,62,24,0,0,0,0,0,0,,,,116,86,62,24,0,0,0,0,0,0,,,
04/14/2020,Gulf Coast,4,CAH,1,130,96,17,81,4,0,4,17,0,17,,,,130,109,17,92,4,0,4,17,0,17,,,
04/14/2020,Gulf Coast,4,GACH,1,49,43,24,19,6,2,4,9,2,7,,,,49,43,24,19,6,2,4,9,2,7,,,
04/14/2020,Interior,6,GACH,1,94,81,32,49,13,5,8,15,0,15,,,,94,81,32,49,13,5,8,15,0,15,,,
04/14/2020,Matanuska-Susitna,3,GACH,1,192,125,53,72,14,6,8,17,0,17,,,,192,125,53,72,14,6,8,17,0,17,,,
04/14/2020,Northern,2,CAH,1,135,95,13,82,8,0,8,24,0,24,,,,135,95,13,82,8,0,8,24,0,24,,,
04/14/2020,Southeast,5,CAH,1,79,75,28,47,12,0,12,25,0,25,,,,79,75,28,47,12,0,12,25,0,25,,,
04/14/2020,Southeast,5,GACH,1,81,56,19,37,9,1,8,15,0,15,,,,81,56,19,37,9,1,8,15,0,15,,,
04/14/2020,Southwest,1,CAH,1,26,12,3,9,0,0,0,2,0,2,,,,26,12,3,9,0,0,0,2,0,2,,,
04/14/2020,Southwest,1,GACH,1,62,45,5,40,8,0,8,4,0,4,,,,62,45,5,40,8,0,8,4,0,4,,,
04/15/2020,Anchorage,7,GACH,1,464,824,235,589,149,33,116,182,17,165,,,,995,824,235,589,149,33,116,182,17,165,,,
04/15/2020,Anchorage,7,LTACH,0,56,30,28,2,11,5,6,23,1,22,,,,56,30,28,2,11,5,6,23,1,22,,,
04/15/2020,Anchorage,7,Psych,0,116,86,55,31,0,0,0,0,0,0,,,,116,86,55,31,0,0,0,0,0,0,,,
04/15/2020,Gulf Coast,4,CAH,1,130,96,19,79,4,0,4,17,0,17,,,,130,109,19,90,4,0,4,17,0,17,,,
04/15/2020,Gulf Coast,4,GACH,1,49,43,23,20,6,2,4,9,1,8,,,,49,43,23,20,6,2,4,9,1,8,,,
04/15/2020,Interior,6,GACH,1,94,81,28,53,13,4,9,15,1,14,,,,94,81,28,53,13,4,9,15,1,14,,,
04/15/2020,Matanuska-Susitna,3,GACH,1,192,125,51,74,14,8,6,17,1,16,,,,192,125,51,74,14,8,6,17,1,16,,,
04/15/2020,Northern,2,CAH,1,135,95,20,75,8,0,8,24,0,24,,,,135,95,20,75,8,0,8,24,0,24,,,
04/15/2020,Southeast,5,CAH,1,79,75,21,54,12,0,12,25,0,25,,,,79,75,21,54,12,0,12,25,0,25,,,
04/15/2020,Southeast,5,GACH,1,81,56,19,37,9,3,6,15,0,15,,,,81,56,19,37,9,3,6,15,0,15,,,
04/15/2020,Southwest,1,CAH,1,26,12,1,11,0,0,0,2,0,2,,,,26,12,1,11,0,0,0,2,0,2,,,
04/15/2020,Southwest,1,GACH,1,62,45,4,41,8,0,8,4,0,4,,,,62,45,4,41,8,0,8,4,0,4,,,
04/16/2020,Anchorage,7,GACH,1,865,824,234,590,149,43,106,183,13,170,,,,865,824,234,590,149,43,106,183,13,170,,,
04/16/2020,Anchorage,7,LTACH,0,56,30,28,2,11,5,6,23,1,22,,,,56,30,28,2,11,5,6,23,1,22,,,
04/16/2020,Anchorage,7,Psych,0,116,86,56,30,0,0,0,0,0,0,,,,116,86,56,30,0,0,0,0,0,0,,,
04/16/2020,Gulf Coast,4,CAH,1,130,96,18,80,4,0,4,17,0,17,,,,130,109,18,91,4,0,4,17,0,17,,,
04/16/2020,Gulf Coast,4,GACH,1,49,43,23,20,6,4,2,9,1,8,,,,49,43,23,20,6,4,2,9,1,8,,,
04/16/2020,Interior,6,GACH,1,94,81,32,49,13,8,5,15,2,13,,,,94,81,32,49,13,8,5,15,2,13,,,
04/16/2020,Matanuska-Susitna,3,GACH,1,192,125,45,80,14,5,9,17,0,17,,,,192,125,45,80,14,5,9,17,0,17,,,
04/16/2020,Northern,2,CAH,1,135,95,18,77,8,0,8,24,0,24,,,,135,95,18,77,8,0,8,24,0,24,,,
04/16/2020,Southeast,5,CAH,1,79,75,22,53,12,1,11,25,0,25,,,,79,75,22,53,12,1,11,25,0,25,,,
04/16/2020,Southeast,5,GACH,1,81,56,23,33,9,7,2,15,0,15,,,,81,56,23,33,9,7,2,15,0,15,,,
04/16/2020,Southwest,1,CAH,1,26,12,3,9,0,0,0,2,0,2,,,,26,12,3,9,0,0,0,2,0,2,,,
04/16/2020,Southwest,1,GACH,1,62,45,7,38,8,0,8,4,0,4,,,,62,45,7,38,8,0,8,4,0,4,,,
04/17/2020,Anchorage,7,GACH,1,865,824,229,595,149,42,107,182,16,166,,,,865,824,229,595,149,42,107,182,16,166,,,
04/17/2020,Anchorage,7,LTACH,0,56,30,28,2,11,5,6,23,1,22,,,,56,30,28,2,11,5,6,23,1,22,,,
04/17/2020,Anchorage,7,Psych,0,116,86,60,26,0,0,0,0,0,0,,,,116,86,60,26,0,0,0,0,0,0,,,
04/17/2020,Gulf Coast,4,CAH,1,130,96,20,78,4,0,4,17,0,17,,,,130,109,20,89,4,0,4,17,0,17,,,
04/17/2020,Gulf Coast,4,GACH,1,49,43,19,24,6,2,4,9,1,8,,,,49,43,19,24,6,2,4,9,1,8,,,
04/17/2020,Interior,6,GACH,1,94,81,32,49,13,7,6,15,3,12,,,,94,81,32,49,13,7,6,15,3,12,,,
04/17/2020,Matanuska-Susitna,3,GACH,1,192,125,45,80,14,3,11,17,0,17,,,,192,125,45,80,14,3,11,17,0,17,,,
04/17/2020,Northern,2,CAH,1,135,95,16,79,8,0,8,29,0,29,,,,135,95,16,79,8,0,8,29,0,29,,,
04/17/2020,Southeast,5,CAH,1,79,75,28,47,12,2,10,25,0,25,,,,79,75,28,47,12,2,10,25,0,25,,,
